material_id,composition,bg,elements
mp-2160,Sb2Se3,1.2,"['Sb', 'Se']"
mp-4019,CaTiO3,3.5,"['Ca', 'O', 'Ti']"
mp-27966,Ag2Mo2O7,2.685,"['Ag', 'Mo', 'O']"
mp-4531,NaNO3,2.92,"['N', 'Na', 'O']"
mp-505709,CsSmZnSe3,2.53,"['Cs', 'Se', 'Sm', 'Zn']"
mp-28782,Na3PS4,2.3,"['Na', 'P', 'S']"
mp-1106270,BaPd(IO3)4,1.97,"['Ba', 'I', 'O', 'Pd']"
mp-18601,DyMn2O5,1.61,"['Dy', 'Mn', 'O']"
mp-2667,CsAu,2.6,"['Au', 'Cs']"
mp-3963,K2CO3,4.9,"['C', 'K', 'O']"
mp-12903,YAgTe2,1.36,"['Ag', 'Te', 'Y']"
mp-570437,CdI2,3.2,"['Cd', 'I']"
mp-560216,Cs2GeP4O13,3.888,"['Cs', 'Ge', 'O', 'P']"
mp-11116,CsYCdSe3,2.56,"['Cd', 'Cs', 'Se', 'Y']"
mp-1559,Mg3N2,2.03,"['Mg', 'N']"
mp-1203743,CsLu7Se11,1.78,"['Cs', 'Lu', 'Se']"
mp-23231,AgBr,2.6,"['Ag', 'Br']"
mp-1271821,Fe3O4,1.82,"['Fe', 'O']"
mp-1195068,Ba3Ta2Se9,1.6,"['Ba', 'Se', 'Ta']"
mp-667338,PbN6,3.0,"['N', 'Pb']"
mp-5387,YNbO4,4.3,"['Nb', 'O', 'Y']"
mp-541582,ReSe2,1.18,"['Re', 'Se']"
mp-1189528,Ca2ScSbO6,3.645,"['Ca', 'O', 'Sb', 'Sc']"
mp-9812,ZnCO3,3.34,"['C', 'O', 'Zn']"
mp-1105419,Cs2Hg3S4,2.8,"['Cs', 'Hg', 'S']"
mp-1104293,K2AgF4,1.8,"['Ag', 'F', 'K']"
mp-8377,TeO2,3.7,"['O', 'Te']"
mp-540703,Cs2S,4.035,"['Cs', 'S']"
mp-19133,YVO4,3.6,"['O', 'V', 'Y']"
mp-983565,CuBSe2,2.315,"['B', 'Cu', 'Se']"
mp-3677,MgSiN2,4.3,"['Mg', 'N', 'Si']"
mp-753891,ZrTiO4,3.5,"['O', 'Ti', 'Zr']"
mp-540957,Cs2TeI6,1.47,"['Cs', 'I', 'Te']"
mp-27161,ZnI2,3.28,"['I', 'Zn']"
mp-1194576,Rb3Sb2Br9,2.48,"['Br', 'Rb', 'Sb']"
mp-1112940,Cs2AgSbCl6,2.54,"['Ag', 'Cl', 'Cs', 'Sb']"
mp-571164,Rb3AgSn3Se8,1.8,"['Ag', 'Rb', 'Se', 'Sn']"
mp-1222368,LiVMoO6,2.505,"['Li', 'Mo', 'O', 'V']"
mp-31307,Ba2SnSe5,1.8,"['Ba', 'Se', 'Sn']"
mp-988,Si3N4,5.0,"['N', 'Si']"
mp-1205803,Ba2ErTaO6,2.5,"['Ba', 'Er', 'O', 'Ta']"
mp-998552,BaHfO3,3.0,"['Ba', 'Hf', 'O']"
mp-17953,MgNb2O6,2.19,"['Mg', 'Nb', 'O']"
mp-2456335,PbBr2,3.27,"['Br', 'Pb']"
mp-29678,AgBiS2,0.98,"['Ag', 'Bi', 'S']"
mp-648,Na2S,1.62,"['Na', 'S']"
mp-769582,Sr5Ta4O15,4.75,"['O', 'Sr', 'Ta']"
mp-669509,Gd2S3,2.63,"['Gd', 'S']"
mp-570363,LiSi,0.755,"['Li', 'Si']"
mp-697331,Mg2NiH4,1.6,"['H', 'Mg', 'Ni']"
mp-1194701,Cs2ZnSn3Se8,2.12,"['Cs', 'Se', 'Sn', 'Zn']"
mp-1195291,Rb2Cu2Sb2S5,1.6,"['Cu', 'Rb', 'S', 'Sb']"
mp-752467,NbO2F,3.1,"['F', 'Nb', 'O']"
mp-16818,Rb2Cd3Se4,2.37,"['Cd', 'Rb', 'Se']"
mp-22232,TlInSe2,1.295,"['In', 'Se', 'Tl']"
mp-23032,CsCuCl3,2.6,"['Cl', 'Cs', 'Cu']"
mp-1047075,MoO2,1.89,"['Mo', 'O']"
mp-573763,Cs2Te,3.5,"['Cs', 'Te']"
mp-4704,Y3Fe5O12,2.6,"['Fe', 'O', 'Y']"
mp-612740,In2Se3,1.3250000000000002,"['In', 'Se']"
