mpids,formula,is_stable,theoretical,band_gap,formation_energy_per_atom,Value,Temperature_raw_value,DOI,compound_type
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.6],,10.1007/s00339-016-0197-2,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.7],,10.1007/s00339-018-2366-y,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[6.0],,10.1007/s10825-015-0713-1,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.6],,10.1007/s10825-017-1085-5,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.7],,10.1007/s10853-007-1584-z,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.7],,10.1007/s10854-013-1565-8,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[6.0],,10.1007/s11661-010-0422-0,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.7],,10.1007/s10853-012-6568-y,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[3.37],,10.1007/s10854-018-0349-6,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.7],,10.1038/nnano.2010.279,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[4.38],,10.1038/srep08494,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[1.8],,10.1134/S1063782620050036,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.3],,10.1134/S1063782620050036,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[6.04],,10.1186/s11671-017-2104-y,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.7],,10.1007/s00339-016-0569-7,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.8],,10.1007/s10854-020-02879-w,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.67],,10.1007/s10971-018-4829-1,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[4.45],,10.1007/s11082-019-2055-x,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.88],,10.1007/s12598-014-0348-6,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.88],,10.1007/s12598-014-0348-6,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[6.0],,10.1007/s00339-016-0326-y,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.8],,10.1007/s00339-016-0326-y,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[1.5],,10.1007/s10825-017-1077-5,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.99],,10.1007/s10854-015-2926-2,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.7],,10.1007/s10854-018-8757-1,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.7],,10.1007/s00339-015-9040-4,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[3.2],,10.1007/s00339-019-2824-1,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.0],,10.1007/s10825-017-1043-2,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[4.08],,10.1007/s10854-020-03479-4,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.8],,10.1007/s13204-014-0298-1,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[6.0],,10.1038/am.2015.57,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.41],,10.1038/s41598-017-07753-0,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[2.4],,10.1038/srep29184,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[6.0],,10.1007/s10825-017-1060-1,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.68],,10.1007/s10854-006-0014-3,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.8],271,10.1007/s10854-006-9111-6,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.3],,10.1186/s11671-017-2068-y,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.3],,10.1186/s11671-017-2068-y,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.55],,10.1021/jacs.5b03986,Double anions
mp-2345,Dy2O3,True,False,3.925499999999999,-4.005045779666665,[4.73],,10.1016/j.cej.2011.02.051,Double anions
mp-2345,Dy2O3,True,False,3.925499999999999,-4.005045779666665,[4.8],,10.1039/c9ra08335a,Double anions
mp-2345,Dy2O3,True,False,3.925499999999999,-4.005045779666665,[4.9],,10.1007/s10854-017-7434-0,Double anions
mp-2345,Dy2O3,True,False,3.925499999999999,-4.005045779666665,[5.29],,10.1007/s10854-017-8026-8,Double anions
mp-2345,Dy2O3,True,False,3.925499999999999,-4.005045779666665,[4.8],,10.1007/s10876-016-1150-4,Double anions
mp-2345,Dy2O3,True,False,3.925499999999999,-4.005045779666665,[4.9],1473,10.1007/s10854-016-4824-7,Double anions
mp-2345,Dy2O3,True,False,3.925499999999999,-4.005045779666665,[3.78],,10.1007/s10854-017-6333-8,Double anions
mp-2345,Dy2O3,True,False,3.925499999999999,-4.005045779666665,[3.08],,10.1021/jacs.5b03986,Double anions
mp-2345,Dy2O3,True,False,3.925499999999999,-4.005045779666665,[1.39],,10.1021/jacs.5b03986,Double anions
