material_id,composition,bg,elements
mp-9497,Pr2C(NO)2,3.716999999999999,"['C', 'N', 'O', 'Pr']"
mp-1229237,AgSb(Te8Pb7)2,0.731399999999999,"['Ag', 'Pb', 'Sb', 'Te']"
mp-2218922,KMgSb(PO4)2,3.7352,"['K', 'Mg', 'O', 'P', 'Sb']"
mp-761280,LiV(TeO4)3,1.4745,"['Li', 'O', 'Te', 'V']"
mp-2715757,Na14Mg4Si7Sn4S5O48,1.661,"['Mg', 'Na', 'O', 'S', 'Si', 'Sn']"
mp-19512,BaV2(PO5)2,2.2939,"['Ba', 'O', 'P', 'V']"
mp-1175438,Li9Mn2Co5O16,0.738699999999999,"['Co', 'Li', 'Mn', 'O']"
mp-1043068,CaAs2WO7,3.075,"['As', 'Ca', 'O', 'W']"
mp-30032,TlIO4,1.9738,"['I', 'O', 'Tl']"
mp-642735,Rb2H4Pt,3.2877,"['H', 'Pt', 'Rb']"
mp-2715583,Na7Al4SiP5O24,4.714499999999999,"['Al', 'Na', 'O', 'P', 'Si']"
mp-554967,Li3Al(BO3)2,4.8643,"['Al', 'B', 'Li', 'O']"
mp-768685,Rb5FeO4,1.434,"['Fe', 'O', 'Rb']"
mp-849265,LiSbP2O7,3.4129,"['Li', 'O', 'P', 'Sb']"
mp-19112,FeSO4,2.2869,"['Fe', 'O', 'S']"
mp-756718,Li4Bi2O5,2.667799999999999,"['Bi', 'Li', 'O']"
mp-625136,CsHO,3.4329,"['Cs', 'H', 'O']"
mp-775016,MnCr(PO4)2,0.8088999999999991,"['Cr', 'Mn', 'O', 'P']"
mp-1220555,Nd2NbInO7,2.680399999999999,"['In', 'Nb', 'Nd', 'O']"
mp-1518751,NaPrHfZrO6,2.7095,"['Hf', 'Na', 'O', 'Pr', 'Zr']"
mp-775291,Li2Mn2Cr3O12,1.739599999999999,"['Cr', 'Li', 'Mn', 'O']"
mp-1385787,Ti3Zn2O8,2.3248,"['O', 'Ti', 'Zn']"
mp-768830,Rb5FeO4,1.872799999999999,"['Fe', 'O', 'Rb']"
mp-1033433,SrMg6NbO8,1.5091,"['Mg', 'Nb', 'O', 'Sr']"
mp-1033518,CsMg6SbO8,2.3895,"['Cs', 'Mg', 'O', 'Sb']"
mp-762643,LiFeSiO4,1.656899999999999,"['Fe', 'Li', 'O', 'Si']"
mp-1025925,Mo3(SeS2)2,0.7782,"['Mo', 'S', 'Se']"
mp-27346,Al2Hg3Cl8,2.5631,"['Al', 'Cl', 'Hg']"
mp-769023,Ba2Y7Cl25,4.1748,"['Ba', 'Cl', 'Y']"
mp-15919,BeAgPO4,2.8716,"['Ag', 'Be', 'O', 'P']"
mp-557802,K2Be(Si2O5)2,4.9141,"['Be', 'K', 'O', 'Si']"
mp-729188,Sb2H10(CF2)3,4.6254,"['C', 'F', 'H', 'Sb']"
mp-2230074,MgFe6(OF)6,1.152899999999999,"['F', 'Fe', 'Mg', 'O']"
mp-20526,PbS,1.6958000000000002,"['Pb', 'S']"
mp-1035836,KMg14BO15,1.6036,"['B', 'K', 'Mg', 'O']"
mp-4264,K2S2O5,3.1872,"['K', 'O', 'S']"
mp-2084,Si5Ir3,0.9437999999999992,"['Ir', 'Si']"
mp-1030107,Te6MoW3Se2,0.740599999999999,"['Mo', 'Se', 'Te', 'W']"
mp-1014251,HfZnN2,2.3179,"['Hf', 'N', 'Zn']"
mp-753308,Li3Mn(OF)2,1.1931,"['F', 'Li', 'Mn', 'O']"
mp-25571,MoO2,0.913899999999999,"['Mo', 'O']"
mp-29417,Na3ScBr6,3.3749,"['Br', 'Na', 'Sc']"
mp-1229208,Cs2Bi4Se7,0.7744999999999991,"['Bi', 'Cs', 'Se']"
mp-1195073,Al2Si2PbO8,4.2562,"['Al', 'O', 'Pb', 'Si']"
mp-772311,Na5LiMn2P2(CO7)2,3.5395,"['C', 'Li', 'Mn', 'Na', 'O', 'P']"
mp-1245838,Pd(CN)2,3.04,"['C', 'N', 'Pd']"
mp-573114,Gd3CuGeS7,1.133,"['Cu', 'Gd', 'Ge', 'S']"
mp-1033747,Mg14BiBO16,0.7229999999999991,"['B', 'Bi', 'Mg', 'O']"
mp-542093,Al2(WO4)3,4.5354,"['Al', 'O', 'W']"
mp-1236165,LiTiFeO4,1.0421,"['Fe', 'Li', 'O', 'Ti']"
mp-1104403,C3N4,0.8366,"['C', 'N']"
mp-1111461,Cs2CuSbCl6,0.897999999999999,"['Cl', 'Cs', 'Cu', 'Sb']"
mp-1177031,Li7Fe4(P2O7)4,1.564899999999999,"['Fe', 'Li', 'O', 'P']"
mp-1285355,Al2NiO4,3.5985,"['Al', 'Ni', 'O']"
mp-757042,LiSnPO4,3.0941,"['Li', 'O', 'P', 'Sn']"
mp-706566,Co6C13(SeO6)2,1.5754,"['C', 'Co', 'O', 'Se']"
mp-1192591,SnP2(HO4)2,2.575599999999999,"['H', 'O', 'P', 'Sn']"
mp-1223241,La2C(NO)2,1.9623,"['C', 'La', 'N', 'O']"
mp-31950,LiMn(PO3)4,1.737,"['Li', 'Mn', 'O', 'P']"
mp-1101345,SrCaI4,2.776,"['Ca', 'I', 'Sr']"
mp-777666,Li2V3CrO8,1.1299,"['Cr', 'Li', 'O', 'V']"
mp-18111,Ba2LaC3O9F,3.9314,"['Ba', 'C', 'F', 'La', 'O']"
mp-1227255,CaCeV2O8,1.5741,"['Ca', 'Ce', 'O', 'V']"
mp-1019569,Ca10Ge16(B2O17)3,3.0963,"['B', 'Ca', 'Ge', 'O']"
mp-778247,Fe5O3F7,0.9727,"['F', 'Fe', 'O']"
mp-849277,Li2CuP3(HO5)2,1.6359,"['Cu', 'H', 'Li', 'O', 'P']"
mp-2225606,MgVMoO5,1.1992,"['Mg', 'Mo', 'O', 'V']"
mp-2715550,Na8Hf3ZnSi4(PO12)2,3.7712,"['Hf', 'Na', 'O', 'P', 'Si', 'Zn']"
mp-2713521,Na10Ca3Zr5(PO4)12,3.423199999999999,"['Ca', 'Na', 'O', 'P', 'Zr']"
mp-561973,K(TeO3)2,1.0307,"['K', 'O', 'Te']"
mp-1401652,Mg3V2O8,3.3666,"['Mg', 'O', 'V']"
mp-2219460,YMgMo3O8,1.463499999999999,"['Mg', 'Mo', 'O', 'Y']"
mp-866869,Ca3Sn2S7,1.7828,"['Ca', 'S', 'Sn']"
mp-757495,Sn(PO3)4,3.001,"['O', 'P', 'Sn']"
mp-1235457,Rb2LiNd2(WO4)4,1.925599999999999,"['Li', 'Nd', 'O', 'Rb', 'W']"
mp-759668,V3OF11,1.567199999999999,"['F', 'O', 'V']"
