model,split,fold,ckpt,test_loss,test_mae,test_mre,test_r2
svr,chemsys,mf.chemsys.k0_outer,output/split/chemsys_svr.log,0.4693321432809548,0.5166307123276979,0.2880959537088074,0.5689917636241473
svr,chemsys,mf.chemsys.k1_outer,output/split/chemsys_svr.log,0.5552567738693261,0.5336988441980803,0.3296573071848159,0.5035903521885979
svr,chemsys,mf.chemsys.k2_outer,output/split/chemsys_svr.log,0.7350924952055321,0.616516663293323,0.3334313597759329,0.2994475830618538
svr,chemsys,mf.chemsys.k3_outer,output/split/chemsys_svr.log,0.4293783965507708,0.4758954648903345,0.2459794539527599,0.5593384229160492
svr,chemsys,mf.chemsys.k4_outer,output/split/chemsys_svr.log,0.5860455050832595,0.5568135978130784,0.255573624326444,0.4769300939406076
svr,chemsys,mf.chemsys.k5_outer,output/split/chemsys_svr.log,0.356362574989608,0.4416144672172243,0.2219740507053181,0.6519562087573525
svr,chemsys,mf.chemsys.k6_outer,output/split/chemsys_svr.log,0.5287188524232396,0.5128451357351956,0.2611759536031178,0.4733568267393293
svr,chemsys,mf.chemsys.k7_outer,output/split/chemsys_svr.log,0.6855777735843286,0.624564144641636,0.3574495774973565,0.375092593091627
svr,chemsys,mf.chemsys.k8_outer,output/split/chemsys_svr.log,0.6027082632708097,0.5703115915875401,0.326666532137246,0.3816070382588572
svr,chemsys,mf.chemsys.k9_outer,output/split/chemsys_svr.log,0.6425706475593022,0.5850298138143125,0.320208676804981,0.4754702958177319
linear_regression,crystalsys,mf.crystalsys.k0_outer,output/split/crystalsys/crystalsys_lr.log,0.8057943762049845,0.7183578756149988,0.4281054072606409,0.4090057493116784
linear_regression,crystalsys,mf.crystalsys.k1_outer,output/split/crystalsys/crystalsys_lr.log,0.6176869383875474,0.607421248894648,0.3229239622720662,0.44366568981538
linear_regression,crystalsys,mf.crystalsys.k2_outer,output/split/crystalsys/crystalsys_lr.log,1.2237963676452637,0.8466435670852661,0.4076632857322693,0.0535567998886108
linear_regression,crystalsys,mf.crystalsys.k3_outer,output/split/crystalsys/crystalsys_lr.log,0.6881125936113505,0.6561769547978825,0.3707899968817607,0.2999711712296338
linear_regression,crystalsys,mf.crystalsys.k4_outer,output/split/crystalsys/crystalsys_lr.log,1.5129607915878296,0.9027981758117676,0.5101348161697388,-0.3405745029449463
