split_dir,split_name,method,val_mae_mean,val_mae_std,val_mre_mean,val_mre_std,val_r2_mean,val_r2_std,test_mae_mean,test_mae_std,test_mre_mean,test_mre_std,test_r2_mean,test_r2_std,val_mae_count,val_mre_count,val_r2_count,test_mae_count,test_mre_count,test_r2_count
category_no_pretrain,Nitrides,cartnet_prop,0.875210702419281,,0.4209972023963928,,0.0791389346122741,,0.875210702419281,,0.4209972023963928,,0.0791388750076294,,1,1,1,1,1,1
category_no_pretrain,Nitrides,cgcnn,1.0032967329025269,,0.5348594784736633,,-0.0858488082885742,,1.0032967329025269,,0.5348594784736633,,-0.0858488082885742,,1,1,1,1,1,1
category_no_pretrain,Nitrides,chgnet,1.2067166566848757,,0.470539778470993,,-0.8131107687950134,,1.2067166566848757,,0.470539778470993,,-0.8131107687950134,,1,1,1,1,1,1
category_no_pretrain,Nitrides,chgnet_prop,1.1421892642974854,,0.47771155834198,,-0.5695472955703735,,1.142189383506775,,0.47771155834198,,-0.5695472955703735,,1,1,1,1,1,1
category_no_pretrain,Nitrides,leftnet_prop,1.002881407737732,,0.4621176123619079,,-0.1115480661392211,,1.002881407737732,,0.4621176123619079,,-0.1115480661392211,,1,1,1,1,1,1
category_no_pretrain,Nitrides,leftnet_z,1.05375874042511,,0.4404731690883636,,-0.3336730003356933,,1.05375874042511,,0.4404731690883636,,-0.3336728811264038,,1,1,1,1,1,1
category_no_pretrain,Oxides,alignn_prop,0.8839100003242493,,0.3444356024265289,,-46511.7265625,,0.8839100003242493,,0.3444356024265289,,-46511.7265625,,1,1,1,1,1,1
category_no_pretrain,Oxides,alignn_z,0.786789059638977,,0.3198401629924774,,-38822.52734375,,0.786789059638977,,0.3198401629924774,,-38822.52734375,,1,1,1,1,1,1
category_no_pretrain,Oxides,cartnet,1.0032755136489868,,0.3513669371604919,,-0.5526940822601318,,1.0032755136489868,,0.3513669073581695,,-0.5682661533355713,,1,1,1,1,1,1
category_no_pretrain,Oxides,cartnet_prop,0.8461042046546936,,0.3611012101173401,,-0.2090158760547638,,0.8461043238639832,,0.3611012101173401,,-0.1998892277479171,,1,1,1,1,1,1
category_no_pretrain,Oxides,cgcnn,0.8513365387916565,,0.3416203558444977,,-0.1630070805549621,,0.8513365387916565,,0.3416203558444977,,-0.1630070805549621,,1,1,1,1,1,1
category_no_pretrain,Oxides,chgnet,0.8578162789344788,,0.3321233093738556,,-125722.4765625,,0.8578162789344788,,0.3321233093738556,,-125722.4765625,,1,1,1,1,1,1
category_no_pretrain,Oxides,chgnet_prop,0.8583528995513916,,0.3460091352462768,,-53415.9296875,,0.8583528995513916,,0.3460091352462768,,-53415.9296875,,1,1,1,1,1,1
category_no_pretrain,Oxides,leftnet_prop,0.7678015828132629,,0.323550134897232,,0.0516567975282669,,0.7678015828132629,,0.323550134897232,,0.0516568571329116,,1,1,1,1,1,1
category_no_pretrain,Oxides,leftnet_z,0.8154613375663757,,0.3240352869033813,,-0.0638071969151496,,0.8154613375663757,,0.3240352869033813,,-0.0638071969151496,,1,1,1,1,1,1
