mpids,formula,bg_mp,bg_exp,num_elements,source,category,num_categories,cluster_auto,is_ood
mp-2456335,PbBr2,2.642699999999999,3.27,2,BandgapDatabase1,Halides,1,2,True
mp-567503,PbI2,2.4455,2.32,2,BandgapDatabase1,Halides,1,2,True
mp-23290,PtCl2,1.7917,0.5,2,BandgapDatabase1,Halides,1,2,True
mp-1115,PtSe2,0.6193000000000001,1.2,2,BandgapDatabase1,Chalcogenides,1,2,True
mp-29895,Rb3Bi2I9,2.4754,2.1,3,BandgapDatabase1,Halides,1,2,True
mp-23043,RbPb2Br5,3.0406,3.42,3,BandgapDatabase1,Halides,1,2,True
mp-998611,RbSnCl3,2.3264,0.94,3,BandgapDatabase1,Halides,1,2,True
mp-27871,RhBr3,1.2584,1.76,2,BandgapDatabase1,Halides,1,2,True
mp-27770,RhCl3,1.521199999999999,1.18,2,BandgapDatabase1,Halides,1,2,True
mp-23281,SbI3,2.1446,2.3550000000000004,2,BandgapDatabase1,Antimonides,2,2,True
mp-23309,ScCl3,3.8723,5.0,2,BandgapDatabase1,Halides,1,2,True
mp-30092,TiCl4,3.4576,2.975,2,BandgapDatabase1,Halides,1,2,True
mp-27451,Tl3PbBr5,3.1153,3.2,3,BandgapDatabase1,Halides,1,2,True
mp-23380,Tl3PbI5,2.6616,2.4850000000000003,3,BandgapDatabase1,Halides,1,2,True
mp-27293,Tl4HgBr6,1.831999999999999,1.8,3,BandgapDatabase1,Halides,1,2,True
mp-28517,Tl6SeI4,1.6854,1.86,3,BandgapDatabase1,Halides,2,2,True
mp-568949,TlBr,2.1678,2.68,2,BandgapDatabase1,Halides,1,2,True
mp-571079,TlCl,2.5181,2.55,2,BandgapDatabase1,Halides,1,2,True
mp-1208111,TlPb2Br5,2.9509,2.92,3,BandgapDatabase1,Halides,1,2,True
mp-27283,TlPb2Cl5,3.543399999999999,3.42,3,BandgapDatabase1,Halides,1,2,True
mp-27552,TlPbI3,2.1427,1.33,3,BandgapDatabase1,Halides,1,2,True
mp-754815,YBr3,3.976499999999999,2.5,2,BandgapDatabase1,Halides,1,2,True
mp-22909,ZnCl2,4.0533,3.31,2,BandgapDatabase1,Halides,1,2,True
mp-554820,ZnS,2.0195,3.65,2,BandgapDatabase1,Chalcogenides,1,2,True
